Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1JJ1CA,2016.12,3726.496,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2017.03,3646.739,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2017.06,3605.416,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2017.09,3742.768,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2017.12,3687.847,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2018.03,3637.454,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2018.06,3706.952,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2018.09,3741.137,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2018.12,3752.926,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2019.03,3670.674,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2019.06,3830.499,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2019.09,3728.969,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2019.12,4045.656,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2020.03,3724.404,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2020.06,3515.44,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2020.09,3713.045,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2020.12,4000.303,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2021.03,3794.209,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2021.06,4041.381,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2021.09,3953.567,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CS,2016.06,3497.474,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2016.09,3686.892,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2016.12,3726.496,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2017.03,3646.739,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2017.06,3605.416,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2017.09,3742.768,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2017.12,3687.847,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2018.03,3637.454,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2018.06,3706.952,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2018.09,3741.137,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2018.12,3752.926,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2019.03,3670.674,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2019.06,3830.499,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2019.09,3728.969,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2019.12,4045.656,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2020.03,3724.404,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2020.06,3515.44,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2020.09,3713.045,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2020.12,4000.303,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2021.03,3794.209,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2021.06,4041.381,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CS,2021.09,3953.567,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Seasonally adjusted,
BDCQ.SF1JJ1CT,2016.06,3542.287,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2016.09,3644.676,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2016.12,3686.664,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2017.03,3672.38,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2017.06,3663.181,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2017.09,3677.529,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2017.12,3684.742,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2018.03,3680.042,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2018.06,3698.186,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2018.09,3722.21,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2018.12,3735.352,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2019.03,3726.142,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2019.06,3772.338,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2019.09,3832.636,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2019.12,3871.097,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2020.03,3838.695,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2020.06,3817.668,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2020.09,3815.915,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2020.12,3870.079,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2021.03,3909.54,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2021.06,3971.839,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJ1CT,2021.09,3994.925,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Trend,
BDCQ.SF1JJCA,2016.06,3497.474,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2016.09,3686.892,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2016.12,3726.496,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2017.03,3646.739,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2017.06,3605.416,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2017.09,3742.768,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2017.12,3687.847,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
BDCQ.SF1JJCA,2018.03,3637.454,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),Information Media and Telecommunications,Current,Unadjusted,
